Cluster 1[['2019-02-18 13:40:10', 0.52966, 0.06861, 0.82677, 0.96039, 0.13277, 0.90977, 0.08958, 0.85492, 'err', 'err', 0.0847, 0.60679, 0.31541, 0.44245, 0.45834, 0.43694
Cluster 16, ['2019-02-18 13:40:10', 0.01726, 0.48418, 0.61308, 0.94728, 0.23052, 'err', 0.40437, 0.57362, 'err', 0.3563, 0.35236, 0.58592, 0.24894, 0.74779, 0.71297, 0.21122
Cluster 17, ['2019-02-18 13:40:10', 0.36949, 0.13517, 0.56018, 0.99868, 'err', 0.7173, 0.94047, 'err', 0.14907, 0.05262, 0.87049, 0.64681, 0.52993, 0.80072, 0.04957, 0.51155
Cluster 18, ['2019-02-18 13:40:10', 0.10836, 0.16455, 0.85586, 0.63134, 0.0027, 0.72474, 0.0439, 0.81207, 0.96845, 0.46015, 0.49505, 0.57657, 0.88101, 0.82199, 0.41874, 0.03834
Cluster 19, ['2019-02-18 13:40:10', 0.69491, 0.16121, 0.96357, 0.07597, 0.56187, 'err', 0.04642, 0.13243, 0.24898, 0.46232, 0.13323, 'err', 0.64559, 0.36529, 'err', 0.28229
Cluster 20, ['2019-02-18 13:40:10', 0.24738, 0.25876, 0.74255, 0.84975, 0.37874, 0.99927, 0.07362, 0.15201, 0.85936, 0.77787, 0.65657, 0.4656, 0.12964, 0.35858, 0.57588, 0.20254
Cluster 21, ['2019-02-18 13:40:10', 0.88708, 0.46031, 0.05878, 0.82795, 0.24331, 0.05192, 0.79815, 0.64225, 0.37345, 0.92878, 0.78259, 0.91917, 0.86698, 0.26262, 'err', 0.96829
Cluster 22, ['2019-02-18 13:40:10', 0.90882, 0.16641, 0.4722, 0.66077, 0.88446, 0.26256, 0.96036, 0.57414, 0.19438, 0.62011, 'err', 0.94892, 0.35565, 0.14095, 0.6381, 0.16231
Cluster 23, ['2019-02-18 13:40:10', 0.78303, 0.50547, 0.42698, 0.55086, 0.47567, 0.19336, 0.79093, 0.37182, 0.51881, 0.84872, 0.21102, 0.97533, 0.17287, 0.34874, 0.91068, 0.90398
Cluster 24, ['2019-02-18 13:40:10', 0.0866, 0.20391, 0.91736, 0.45704, 0.40648, 0.85422, 0.1883, 'err', 0.32208, 0.52292, 0.70573, 'err', 0.70409, 0.18296, 0.08942, 0.12572
Cluster 25, ['2019-02-18 13:40:10', 0.63642, 0.78507, 0.18114, 0.02843, 0.33481, 'err', 0.693, 0.63809, 0.47919, 0.93006, 0.01996, 0.19754, 0.51485, 0.66345, 0.66436, 0.6182
Cluster 26, ['2019-02-18 13:40:10', 0.36776, 0.24229, 0.86189, 0.65587, 0.93553, 'err', 0.23001, 0.7283, 0.18129, 0.77978, 0.37826, 0.57147, 0.74554, 0.66263, 0.53158, 0.9601
Cluster 27, ['2019-02-18 13:40:10', 0.35937, 0.51949, 0.17697, 0.34672, 0.83879, 0.83507, 0.03955, 0.24073, 0.35992, 0.83643, 0.07802, 0.36492, 0.03817, 0.77575, 0.75232, 0.72668
Cluster 28, ['2019-02-18 13:40:10', 'err', 0.1536, 0.97495, 0.64425, 0.64779, 0.98782, 0.56293, 0.48827, 0.99331, 0.88652, 0.96362, 0.23089, 0.09328, 0.61474, 0.15175, 0.05726
Cluster 29, ['2019-02-18 13:40:10', 0.21676, 0.10042, 0.0813, 0.3659, 0.22157, 0.45456, 0.01029, 0.40554, 0.11365, 'err', 0.86622, 0.16328, 0.72137, 0.96692, 0.69369, 0.26603
Cluster 30, ['2019-02-18 13:40:10', 0.30625, 0.72816, 0.41128, 0.80471, 0.35049, 0.85416, 0.20719, 'err', 0.52469, 0.90825, 0.01378, 0.11621, 0.00025, 'err', 0.16782, 0.19773
Cluster 31, ['2019-02-18 13:40:10', 0.19441, 0.3827, 0.86622, 0.91136, 0.31285, 0.67397, 'err', 0.65727, 0.94586, 0.7686, 0.21514, 0.4547, 0.04764, 0.72282, 0.55071, 0.36323
Cluster 32, ['2019-02-18 13:40:10', 0.98425, 0.24776, 0.47071, 0.66025, 0.3521, 0.94534, 0.41762, 0.54732, 0.12075, 0.62287, 0.56258, 0.99437, 0.92874, 0.04604, 0.50994, 0.87911
